Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name
S27488300004,08/24/2015,5095,Carterlake Mini Mart,"1001, LOCUST ST",CARTER LAKE,51510,"1001, LOCUST ST
CARTER LAKE 51510
(41.284951, -95.915947)",78,Pottawattamie,1081600,WHISKEY LIQUEUR
S19071600007,05/20/2014,4345,Lucky Mart,1031 WEST ST,GRINNELL,50112,"1031 WEST ST
GRINNELL 50112
(41.745903, -92.727379)",79,Poweshiek,1012100,CANADIAN WHISKIES
S23080100062,12/19/2014,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77,Polk,1032200,IMPORTED VODKA - MISC
S28796200019,11/02/2015,2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,"1004 W MADISON ST
WASHINGTON 52353
(41.296576, -91.704551)",92,Washington,1051010,AMERICAN GRAPE BRANDIES
S29159300115,11/18/2015,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.552406, -90.483701)",82,Scott,1032200,IMPORTED VODKA - MISC
S03463300012,01/09/2012,3721,Wal-Mart 0913 / Decorah,1798 OLD STAGE RD,DECORAH,52101,"1798 OLD STAGE RD
DECORAH 52101
(43.289239, -91.754287)",96,Winneshiek,1031200,VODKA FLAVORED
S19014800131,05/20/2014,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,"7101 UNIVERSITY AVE
WINDSOR HEIGHTS 50311
(41.600375, -93.715949)",77,Polk,1081200,CREAM LIQUEURS
S12788800002,06/13/2013,4705,Walgreens #05977 / Coralville,102 SECOND ST,CORALVILLE,52241,"102 SECOND ST
CORALVILLE 52241
(41.669266, -91.566343)",52,Johnson,1062310,SPICED RUM
S09304800076,12/04/2012,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,"905 US HIGHWAY 30 WEST
CARROLL 51401
(42.064123, -94.855277)",14,Carroll,1051010,AMERICAN GRAPE BRANDIES
S05796400079,05/30/2012,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77,Polk,1062050,BARBADOS RUM
S14055000066,08/22/2013,2130,Sycamore Convenience,617 SYCAMORE,WATERLOO,50703,"617 SYCAMORE
WATERLOO 50703
(42.498, -92.335585)",7,Black Hawk,1081200,CREAM LIQUEURS
S26795000059,07/16/2015,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77,Polk,1011200,STRAIGHT BOURBON WHISKIES
S10374100011,02/04/2013,3484,Jeff's Foods,110 W CEDAR ST,MARCUS,51035,"110 W CEDAR ST
MARCUS 51035
(42.825681, -95.808579)",18,Cherokee,1081010,AMERICAN AMARETTO
S18351000131,04/09/2014,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82,Scott,1031200,VODKA FLAVORED
S17282600085,02/10/2014,3525,Wines and Spirits,106 W 2ND ST,WASHINGTON,52353,"106 W 2ND ST
WASHINGTON 52353
(41.300399, -91.692213)",92,Washington,1051010,AMERICAN GRAPE BRANDIES
S12904300018,06/18/2013,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57,Linn,1011300,TENNESSEE WHISKIES
S07288300018,08/23/2012,4348,Jeff's Market / Wilton,101 E 4TH,WILTON,52778,"101 E 4TH
WILTON 52778
(41.588741, -91.015552)",70,Muscatine,1062300,FLAVORED RUM
S18451500117,04/17/2014,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,"905 US HIGHWAY 30 WEST
CARROLL 51401
(42.064123, -94.855277)",14,Carroll,1081900,MISC. AMERICAN CORDIALS & LIQUEURS
S11187900040,03/21/2013,3829,Gary's Foods / Mt Vernon,715  1ST AVE S,MOUNT VERNON,52314,"715 1ST AVE S
MOUNT VERNON 52314
(41.91673, -91.422419)",57,Linn,1011200,STRAIGHT BOURBON WHISKIES
S22866700020,12/10/2014,4252,Fareway Stores #840 / Monticello,433 N FARLEY ST,MONTICELLO,52310,"433 N FARLEY ST
MONTICELLO 52310
(42.241707, -91.191318)",53,Jones,1081335,RASPBERRY SCHNAPPS
S20045100048,07/10/2014,4889,Fast Trip / Des Moines,1516 SE  1st ST,DES MOINES,50315,"1516 SE 1st ST
DES MOINES 50315
(41.57593, -93.613468)",77,Polk,1011100,BLENDED WHISKIES
S10489000006,02/07/2013,4013,Wal-Mart 0841 / Tipton,1126 HIGHWAY 38 NORTH,TIPTON,52772,"1126 HIGHWAY 38 NORTH
TIPTON 52772
(41.437464, -91.030702)",16,Cedar,1011300,TENNESSEE WHISKIES
S18038100017,03/25/2014,4589,Dyno's #53 / Sibley,1026 2nd AVE,SIBLEY,51249,"1026 2nd AVE
SIBLEY 51249
(43.39743, -95.752119)",72,Osceola,1011200,STRAIGHT BOURBON WHISKIES
S05374300041,05/03/2012,4564,JEFF'S MARKET / DURANT,408 6th AVE,DURANT,52747,"408 6th AVE
DURANT 52747
(41.600607, -90.911744)",16,Cedar,1062300,FLAVORED RUM
S25135500055,04/22/2015,2238,Adventureland Inn,3200 Adventureland Dr,ALTOONA,50009,"3200 Adventureland Dr
ALTOONA 50009
(41.658538, -93.497258)",77,Polk,1071100,AMERICAN COCKTAILS
S24429300075,03/10/2015,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.034788, -92.899809)",64,Marshall,1031080,VODKA 80 PROOF
S26269200013,06/17/2015,5017,Lansing IGA,417 MAIN ST,LANSING,52151,"417 MAIN ST
LANSING 52151
(43.36182, -91.219222)",3,Allamakee,1081390,IMPORTED SCHNAPPS
S23107500015,12/22/2014,2846,CVS Pharmacy #8443 / Cedar Rapids,3419 16th AVE SW,CEDAR RAPIDS,52404,"3419 16th AVE SW
CEDAR RAPIDS 52404
(41.963526, -91.716583)",57,Linn,1041100,AMERICAN DRY GINS
S17931800048,03/17/2014,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77,Polk,1011100,BLENDED WHISKIES
S24435600007,03/10/2015,2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,"2608 E. CENTRAL AVENUE
ESTHERVILLE 51334
",32,Emmet,1012100,CANADIAN WHISKIES
S19137200082,05/23/2014,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814689, -91.137509)",29,Des Moines,1012200,SCOTCH WHISKIES
S12257100012,05/16/2013,4694,Rina Mart LLC / Davenport,"3815, WEST KIMBERLY RD",DAVENPORT,52806,"3815, WEST KIMBERLY RD
DAVENPORT 52806
(41.561756, -90.63145)",82,Scott,1031080,VODKA 80 PROOF
S19686300032,06/23/2014,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42,Hardin,1062310,SPICED RUM
S08784900140,11/06/2012,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.4918, -90.704724)",31,Dubuque,1062300,FLAVORED RUM
S20315600007,07/29/2014,3625,Wal-Mart 0892 / Ankeny,1002 SE NATIONAL DR,ANKENY,50021,"1002 SE NATIONAL DR
ANKENY 50021
(41.704864, -93.582728)",77,Polk,1081600,WHISKEY LIQUEUR
