Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name
S28865700001,11/09/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7,Black Hawk,1701100,DECANTERS & SPECIALTY PACKAGES
S29339300091,11/30/2015,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,"522 MULBERRY, SUITE A
MUSCATINE 52761
",70,Muscatine,1701100,DECANTERS & SPECIALTY PACKAGES
S28866900001,11/11/2015,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,"118 South Main St.
HOLSTEIN 51025
(42.490073, -95.544793)",47,Ida,1701100,DECANTERS & SPECIALTY PACKAGES
S29134300126,11/18/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,"1023 9TH ST
ONAWA 51040
(42.025841, -96.095845)",67,Monona,1081200,CREAM LIQUEURS
S29282800048,11/23/2015,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES
S28867000001,11/04/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55,Kossuth,1701100,DECANTERS & SPECIALTY PACKAGES
S28865800001,11/09/2015,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42,Hardin,1701100,DECANTERS & SPECIALTY PACKAGES
S28867100001,11/09/2015,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,"1324, 1st AVE E
NEWTON 50208
(41.699173, -93.035654)",50,Jasper,1701100,DECANTERS & SPECIALTY PACKAGES
S29191200001,11/19/2015,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES
S29137200001,11/18/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES
S29161800004,11/18/2015,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52,Johnson,1081200,CREAM LIQUEURS
S29082800001,11/16/2015,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70,Muscatine,1081200,CREAM LIQUEURS
S29331500076,11/30/2015,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,"407 W HURON
MISSOURI VALLEY 51555
(41.557404, -95.899334)",43,Harrison,1701100,DECANTERS & SPECIALTY PACKAGES
S29216200002,11/20/2015,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70,Muscatine,1081200,CREAM LIQUEURS
S28867200001,11/05/2015,4881,Sperry One Stop Shop LLC,516 HWY 141,COON RAPIDS,50058,"516 HWY 141
COON RAPIDS 50058
",14,Carroll,1701100,DECANTERS & SPECIALTY PACKAGES
S29249700269,11/21/2015,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,"1725 74TH ST
WEST DES MOINES 50266
(41.598514, -93.808855)",77,Polk,1081200,CREAM LIQUEURS
S28865900001,11/11/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES
S28866800001,11/09/2015,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,"2126 KIMBALL AVE
WATERLOO 50701
",7,Black Hawk,1701100,DECANTERS & SPECIALTY PACKAGES
S29142300101,11/18/2015,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82,Scott,1701100,DECANTERS & SPECIALTY PACKAGES
S10699400047,02/20/2013,4794,Smokin' Joe's #17 Tobacco and Liquor,110 S ROOSEVELT HWY 61,BURLINGTON,52601,"110 S ROOSEVELT HWY 61
BURLINGTON 52601
(40.809556, -91.141395)",29,Des Moines,1082900,MISC. IMPORTED CORDIALS & LIQUEURS
S23647700049,01/26/2015,4742,No Frills Supermarkets #786 / Counci,"1817, W BROADWAY",COUNCIL BLUFFS,51501,"1817, W BROADWAY
COUNCIL BLUFFS 51501
(41.261863, -95.870993)",78,Pottawattamie,1062200,PUERTO RICO & VIRGIN ISLANDS RUM
S08792800017,11/06/2012,2459,Reinhart Foods,200 STATE PO BOX 98,GUTHRIE CENTER,50115,"200 STATE PO BOX 98
GUTHRIE CENTER 50115
",39,Guthrie,1062300,FLAVORED RUM
S04854100048,04/03/2012,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108289, -91.281881)",53,Jones,1081300,PEPPERMINT SCHNAPPS
S13206600042,07/08/2013,3908,County Market #214 / Fort Madison,11802 AVENUE H,FORT MADISON,52627,"11802 AVENUE H
FORT MADISON 52627
",56,Lee,1031200,VODKA FLAVORED
S29065400007,11/16/2015,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,"3111 MAIN
KEOKUK 52632
(40.414975, -91.403338)",56,Lee,1031080,VODKA 80 PROOF
S08900500035,11/13/2012,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,"2515 CHAMBERLAIN
AMES 50010
(42.02146, -93.650965)",85,Story,1081900,MISC. AMERICAN CORDIALS & LIQUEURS
S12302500025,05/21/2013,3929,Liquor And Tobacco Outlet,515 1/2 BROADWAY ST,WATERLOO,50703,"515 1/2 BROADWAY ST
WATERLOO 50703
(42.510417, -92.345102)",7,Black Hawk,1022100,TEQUILA
S17627300143,02/26/2014,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82,Scott,1012300,IRISH WHISKIES
S15983300014,11/26/2013,2551,Hy-Vee Food Store / Chariton,2001 WEST COURT,CHARITON,50049,"2001 WEST COURT
CHARITON 50049
",59,Lucas,1081600,WHISKEY LIQUEUR
S06855800032,07/31/2012,2522,Hy-Vee Wine and Spirits / Spirit Lak,HWY 9 & 71,SPIRIT LAKE,51360,"HWY 9 &amp; 71
SPIRIT LAKE 51360
",30,Dickinson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM
S26107400154,06/09/2015,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77,Polk,1081900,MISC. AMERICAN CORDIALS & LIQUEURS
S18283700037,04/07/2014,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.552406, -90.483701)",82,Scott,1041100,AMERICAN DRY GINS
S08372100023,10/16/2012,3816,Swils,200 E OAK ST,RED OAK,51566,"200 E OAK ST
RED OAK 51566
(41.016691, -95.230032)",69,Montgomery,1031200,VODKA FLAVORED
S11716100038,04/17/2013,3990,Cork and Bottle / Oskaloosa,309 A AVE WEST,OSKALOOSA,52577,"309 A AVE WEST
OSKALOOSA 52577
(41.296228, -92.648153)",62,Mahaska,1012100,CANADIAN WHISKIES
S12585300015,06/04/2013,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,"1610 OKOBOJI AVENUE
MILFORD 51351
(43.331525, -95.149955)",30,Dickinson,1042100,IMPORTED DRY GINS
S05702000043,05/24/2012,3912,Smokin' Joe's #14 Tobacco and Liquor,225 EDGEWOOD RD,CEDAR RAPIDS,52405,"225 EDGEWOOD RD
CEDAR RAPIDS 52405
(41.973418, -91.715955)",57,Linn,1012100,CANADIAN WHISKIES
S05590100008,05/17/2012,3540,Super Target T-0533 / Davenport,5225 ELMORE AVE,DAVENPORT,52807,"5225 ELMORE AVE
DAVENPORT 52807
(41.573626, -90.528589)",82,Scott,1042100,IMPORTED DRY GINS
S27992700007,09/21/2015,4898,Burlington Shell,"130, S ROOSEVELT AVE",BURLINGTON,52601,"130, S ROOSEVELT AVE
BURLINGTON 52601
(40.807959, -91.141422)",29,Des Moines,1031080,VODKA 80 PROOF
S11403900036,04/02/2013,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,"6723 NW BLVD UNIT 2
DAVENPORT 52806
",82,Scott,1031200,VODKA FLAVORED
S07422400037,10/12/2012,3819,Quillins Decorah,915 SHORT ST,DECORAH,52101,"915 SHORT ST
DECORAH 52101
(43.291013, -91.797893)",96,Winneshiek,1701100,DECANTERS & SPECIALTY PACKAGES
S08426400013,10/18/2012,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,"109 EAST 1ST ST STE B
GRIMES 50111
(41.6884, -93.793812)",77,Polk,1011100,BLENDED WHISKIES
S19526900004,06/12/2014,4819,Super Stop 2 / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,"2635 ADVENTURELAND DR
ALTOONA 50009
(41.65854, -93.494642)",77,Polk,1031080,VODKA 80 PROOF
S19153100167,05/23/2014,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17,Cerro Gordo,1012210,SINGLE MALT SCOTCH
S16168900009,12/09/2013,4110,"Brothers Market, Inc.",706 HIGHWAY 57,PARKERSBURG,50665,"706 HIGHWAY 57
PARKERSBURG 50665
(42.570361, -92.785817)",12,Butler,1062310,SPICED RUM
S06459500039,07/09/2012,4105,Fareway Stores #426 / Nevada,1505 SOUTH B AVE,NEVADA,50201,"1505 SOUTH B AVE
NEVADA 50201
(42.009797, -93.439899)",85,Story,1041100,AMERICAN DRY GINS
S18205200042,04/02/2014,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31,Dubuque,1011100,BLENDED WHISKIES
S21679800033,10/08/2014,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63,Marion,1012100,CANADIAN WHISKIES
S29131400002,11/17/2015,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,"114 CENTRAL ST N Suite 1
MARSHALLTOWN 50158
",64,Marshall,1011100,BLENDED WHISKIES
S11568600008,04/10/2013,3536,Geno's Liquor,111 S COMMERCIAL AVE,EAGLE GROVE,50533,"111 S COMMERCIAL AVE
EAGLE GROVE 50533
(42.663965, -93.904497)",99,Wright,1062310,SPICED RUM
S22994400050,12/17/2014,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31,Dubuque,1012100,CANADIAN WHISKIES
S07934900009,09/25/2012,3774,Eagle Country Market / Dubuque,1800 ELM ST,DUBUQUE,52001,"1800 ELM ST
DUBUQUE 52001
(42.511105, -90.665763)",31,Dubuque,1062310,SPICED RUM
S25525700025,05/07/2015,4958,Five Corners Liquor & Wine,809 E 18TH ST,CEDAR FALLS,50613,"809 E 18TH ST
CEDAR FALLS 50613
(42.5214, -92.436845)",7,Black Hawk,1081600,WHISKEY LIQUEUR
S24499300036,03/12/2015,4847,Slagle Foods LeClaire,1301 EAGLE RIDGE RD,LECLAIRE,52753,"1301 EAGLE RIDGE RD
LECLAIRE 52753
(41.587349, -90.359813)",82,Scott,1011200,STRAIGHT BOURBON WHISKIES
S23530700064,01/15/2015,4969,Lake Liquors Wine and Spirits,910 N 8TH ST W,CLEAR LAKE,50428,"910 N 8TH ST W
CLEAR LAKE 50428
(43.142775, -93.396651)",17,Cerro Gordo,1012210,SINGLE MALT SCOTCH
S04414100075,03/06/2012,2532,Hy-Vee Food Store #2 / Des Moines,2540 E EUCLID,DES MOINES,50317,"2540 E EUCLID
DES MOINES 50317
(41.627842, -93.568427)",77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS
S20967300001,09/02/2014,4576,THE BOONEDOCKS,228 N HWY 71,ARNOLDS PARK,51331,"228 N HWY 71
ARNOLDS PARK 51331
(43.370811, -95.126015)",30,Dickinson,1011200,STRAIGHT BOURBON WHISKIES
S04958400027,04/10/2012,4488,Casey's General Store #2762 / Cedar,20 MILLER AVE SW,CEDAR RAPIDS,52404,"20 MILLER AVE SW
CEDAR RAPIDS 52404
(41.924505, -91.657358)",57,Linn,1032200,IMPORTED VODKA - MISC
S20666600066,08/14/2014,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.60566, -93.619787)",77,Polk,1011100,BLENDED WHISKIES
S04404400009,03/06/2012,3886,Wal-Mart 0646 / Anamosa,101  115 ST,ANAMOSA,52205,"101 115 ST
ANAMOSA 52205
(42.101677, -91.264965)",53,Jones,1011200,STRAIGHT BOURBON WHISKIES
S27099100001,08/03/2015,5070,Jeff's Market / Wilton,"101, E 4TH ST",WILTON,52778,"101, E 4TH ST
WILTON 52778
(41.58873, -91.016579)",70,Muscatine,1081300,PEPPERMINT SCHNAPPS
S10436800050,02/05/2013,2962,Dahl's / Johnston,5440 NW 86TH ST,JOHNSTON,50131,"5440 NW 86TH ST
JOHNSTON 50131
(41.659093, -93.736517)",77,Polk,1031080,VODKA 80 PROOF
S24009000053,02/12/2015,4269,Tipton Family Foods,610 CEDAR ST,TIPTON,52772,"610 CEDAR ST
TIPTON 52772
(41.771753, -91.128389)",16,Cedar,1012100,CANADIAN WHISKIES
S09423900016,12/12/2012,4625,Kwik Shop #532 / Council Bluffs,1602 AVENUE G,COUNCIL BLUFFS,51501,"1602 AVENUE G
COUNCIL BLUFFS 51501
(41.267987, -95.867877)",78,Pottawattamie,1032080,IMPORTED VODKA
S11449100031,04/03/2013,3925,Johncy's Liquor Store Inc,585 HWY 965 S  STE E,NORTH LIBERTY,52317,"585 HWY 965 S STE E
NORTH LIBERTY 52317
(41.738152, -91.60761)",48,Iowa,1031080,VODKA 80 PROOF
S22189000027,11/05/2014,3932,Main Street Spirits / Mapleton,311 MAIN ST,MAPLETON,51034,"311 MAIN ST
MAPLETON 51034
(42.165915, -95.79375)",67,Monona,1011200,STRAIGHT BOURBON WHISKIES
S28774900013,11/02/2015,4689,Walgreens #11759 / Fort Madison,2639 AVENUE L,FORT MADISON,52627,"2639 AVENUE L
FORT MADISON 52627
(40.626968, -91.344306)",56,Lee,1062310,SPICED RUM
S11831600004,04/24/2013,4187,Jensen Liquor North,109  5TH ST,SIBLEY,51249,"109 5TH ST
SIBLEY 51249
(43.403935, -95.759951)",72,Osceola,1071100,AMERICAN COCKTAILS
S12668400023,06/10/2013,4276,Wj's Liquor,107 N MILL ST,LAKE MILLS,50450,"107 N MILL ST
LAKE MILLS 50450
(43.419668, -93.535032)",95,Winnebago,1081900,MISC. AMERICAN CORDIALS & LIQUEURS
S08894500006,11/13/2012,4443,Palo Mini Mart,1204 1ST ST,PALO,52324,"1204 1ST ST
PALO 52324
(42.070316, -91.795808)",57,Linn,1062310,SPICED RUM
S06021200082,06/12/2012,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,"1610 OKOBOJI AVENUE
MILFORD 51351
(43.331525, -95.149955)",30,Dickinson,1011200,STRAIGHT BOURBON WHISKIES
S22996900012,12/17/2014,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,"1691 ASBURY ROAD
DUBUQUE 52001
(42.500858, -90.696929)",31,Dubuque,1012100,CANADIAN WHISKIES
S23424900021,01/12/2015,4659,Casey's General Store #2802 / Conrad,409 E CENTER,CONRAD,50621,"409 E CENTER
CONRAD 50621
",38,Grundy,1031080,VODKA 80 PROOF
S15431000148,10/30/2013,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,"507 W 19th St
SIOUX CITY 51103
(42.510535, -96.420193)",97,Woodbury,1012210,SINGLE MALT SCOTCH
S21795200005,10/15/2014,5045,Central Mart / Hamilton Blvd,800 HAMILTON BLVD,SIOUX CITY,51103,"800 HAMILTON BLVD
SIOUX CITY 51103
(42.504385, -96.417379)",97,Woodbury,1011100,BLENDED WHISKIES
S07441800045,08/30/2012,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,"4825 JOHNSON AVE NW
CEDAR RAPIDS 52405
(41.968342, -91.733373)",57,Linn,1071100,AMERICAN COCKTAILS
S03642100028,01/18/2012,3928,Smokin' Joe's #12 Tobacco and Liquor,465 HWY 965 UNIT G,NORTH LIBERTY,52317,"465 HWY 965 UNIT G
NORTH LIBERTY 52317
(41.739934, -91.607593)",52,Johnson,1031080,VODKA 80 PROOF
S15364700018,10/28/2013,4121,Newport Bp / Wapello,13410 STATE HWY 78,WAPELLO,52653,"13410 STATE HWY 78
WAPELLO 52653
",58,Louisa,1082900,MISC. IMPORTED CORDIALS & LIQUEURS
S09409900025,12/11/2012,4670,Guppy's On The Go / Tripoli,"600, 7TH AVE SW",TRIPOLI,50676,"600, 7TH AVE SW
TRIPOLI 50676
(42.802375, -92.264289)",9,Bremer,1062200,PUERTO RICO & VIRGIN ISLANDS RUM
S13570900020,07/25/2013,4819,Super Stop 2 / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,"2635 ADVENTURELAND DR
ALTOONA 50009
(41.65854, -93.494642)",77,Polk,1062300,FLAVORED RUM
S06441700180,07/06/2012,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.034788, -92.899809)",64,Marshall,1031100,100 PROOF VODKA
S16937000033,01/21/2014,4277,Cork It!,769 PROSPECT ST SW,LE MARS,51031,"769 PROSPECT ST SW
LE MARS 51031
(42.776296, -96.178479)",75,Plymouth,1022100,TEQUILA
S05487200004,05/10/2012,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57,Linn,1011300,TENNESSEE WHISKIES
S08845700025,11/08/2012,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,"1843 JOHNSON AVENUE, N.W.
CEDAR RAPIDS 52405
(41.97447, -91.697941)",57,Linn,1011100,BLENDED WHISKIES
S26656700011,07/09/2015,3647,Wal-Mart 2889 / Clinton,2715 SOUTH 25TH ST,CLINTON,52732,"2715 SOUTH 25TH ST
CLINTON 52732
(41.818874, -90.245005)",23,Clinton,1031080,VODKA 80 PROOF
S28184800058,09/29/2015,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.4918, -90.704724)",31,Dubuque,1011300,TENNESSEE WHISKIES
S13536700014,07/24/2013,2238,Adventureland Inn,3200 Adventureland Dr,ALTOONA,50009,"3200 Adventureland Dr
ALTOONA 50009
(41.658538, -93.497258)",77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM
S23819700011,02/03/2015,2660,HY-VEE FOOD STORE / SIOUX CENTER,1951 S MAIN AVE,SIOUX CENTER,51250,"1951 S MAIN AVE
SIOUX CENTER 51250
(43.05603, -96.175686)",84,Sioux,1031080,VODKA 80 PROOF
S19553400063,06/16/2014,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,"1501 MICHIGAN AVE
DES MOINES 50314
(41.605561, -93.613738)",77,Polk,1081300,PEPPERMINT SCHNAPPS
S18956900038,05/14/2014,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,"1516 HIGHWAY 169 NORTH
ALGONA 50511
(43.081288, -94.236003)",55,Kossuth,1031080,VODKA 80 PROOF
S04408700074,03/06/2012,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,"2395 NW ARTERIAL RD
DUBUQUE 52002
(42.516621, -90.741064)",31,Dubuque,1052010,IMPORTED GRAPE BRANDIES
S11500500065,04/08/2013,3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,"1122 BROADWAY
EMMETSBURG 50536
(43.109636, -94.678806)",74,Palo Alto,1082900,MISC. IMPORTED CORDIALS & LIQUEURS
S13670200015,07/31/2013,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,"3501 8TH ST SW
ALTOONA 50009
(41.644195, -93.505276)",77,Polk,1032080,IMPORTED VODKA
S05984500004,06/11/2012,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57,Linn,1012100,CANADIAN WHISKIES
S04846600029,04/03/2012,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,"2515 CHAMBERLAIN
AMES 50010
(42.02146, -93.650965)",85,Story,1032080,IMPORTED VODKA
S22667200025,12/02/2014,4891,Schottsy's Liquor,109 5th ST,SIBLEY,51249,"109 5th ST
SIBLEY 51249
(43.403935, -95.759951)",72,Osceola,1071100,AMERICAN COCKTAILS
S06847200026,07/31/2012,3488,Bender's Foods,400 S SECOND,BELLEVUE,52031,"400 S SECOND
BELLEVUE 52031
(42.255889, -90.423093)",49,Jackson,1081600,WHISKEY LIQUEUR
S04197400002,02/22/2012,3906,Cigarette Outlet #17 / Burlington,412 N ROOSEVELT ST,BURLINGTON,52601,"412 N ROOSEVELT ST
BURLINGTON 52601
(40.815076, -91.1414)",29,Des Moines,1031080,VODKA 80 PROOF
S26899700012,07/22/2015,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85,Story,1012200,SCOTCH WHISKIES
S24892500005,04/06/2015,4673,Sonny's Super Market / West Point,327 5TH ST,WEST POINT,52656,"327 5TH ST
WEST POINT 52656
(40.717867, -91.452491)",56,Lee,1081600,WHISKEY LIQUEUR
S21721200051,10/13/2014,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,"3111 MAIN
KEOKUK 52632
(40.414975, -91.403338)",56,Lee,1022100,TEQUILA
S09016600003,11/17/2012,3521,Ameristar Casino / Council Bluffs,2200 RIVER ROAD,COUNCIL BLUFFS,51501,"2200 RIVER ROAD
COUNCIL BLUFFS 51501
(41.242292, -95.909382)",78,Pottawattamie,1041100,AMERICAN DRY GINS
S15029400021,10/09/2013,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N LAKE ST,STORM LAKE,50588,"1250 N LAKE ST
STORM LAKE 50588
(42.653594, -95.200758)",11,Buena Vista,1012100,CANADIAN WHISKIES
S08748300063,11/05/2012,2578,Hy-Vee / Charles City,901 KELLY ST,CHARLES CITY,50616,"901 KELLY ST
CHARLES CITY 50616
(43.066994, -92.675562)",34,Floyd,1012100,CANADIAN WHISKIES
S21231400112,09/17/2014,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,"2395 NW ARTERIAL RD
DUBUQUE 52002
(42.516621, -90.741064)",31,Dubuque,1031200,VODKA FLAVORED
S05233900074,04/25/2012,3417,Big G Food Store,PO BOX 261  310 W DILLON,MARENGO,52301,"PO BOX 261 310 W DILLON
MARENGO 52301
",48,Iowa,1041100,AMERICAN DRY GINS
S12909100007,06/18/2013,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,"3221 SE 14TH ST
DES MOINES 50315
(41.553941, -93.596756)",77,Polk,1081600,WHISKEY LIQUEUR
S13555400025,07/24/2013,3943,Good and Quick Co,519 LINCOLNWAY,NEVADA,50201,"519 LINCOLNWAY
NEVADA 50201
(42.022712, -93.45299)",85,Story,1081600,WHISKEY LIQUEUR
S11460200054,04/04/2013,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,"4825 JOHNSON AVE NW
CEDAR RAPIDS 52405
(41.968342, -91.733373)",57,Linn,1031080,VODKA 80 PROOF
S11615400004,04/15/2013,4524,Casey's General Store #1139 / Nora S,14 E CONGRESS,NORA SPRINGS,50458,"14 E CONGRESS
NORA SPRINGS 50458
(43.142731, -93.005439)",34,Floyd,1031080,VODKA 80 PROOF
S04958800091,04/09/2012,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,"3221 SE 14TH ST
DES MOINES 50320
(41.554101, -93.596754)",77,Polk,1012200,SCOTCH WHISKIES
S20329100034,07/31/2014,3698,Ingersoll Wine Merchants,1300  50TH ST,WEST DES MOINES,50266,"1300 50TH ST
WEST DES MOINES 50266
(41.590858, -93.771158)",77,Polk,1032200,IMPORTED VODKA - MISC
S09979300008,01/10/2013,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,"4825 JOHNSON AVE NW
CEDAR RAPIDS 52405
(41.968342, -91.733373)",57,Linn,1011100,BLENDED WHISKIES
S11577700018,04/10/2013,3625,Wal-Mart 0892 / Ankeny,1002 SE NATIONAL DR,ANKENY,50021,"1002 SE NATIONAL DR
ANKENY 50021
(41.704864, -93.582728)",77,Polk,1062310,SPICED RUM
S12175200011,05/13/2013,2565,Hy-Vee Food Store / Spencer,819 N GRAND AVE,SPENCER,51301,"819 N GRAND AVE
SPENCER 51301
(43.145897, -95.14506)",21,Clay,1031080,VODKA 80 PROOF
S13095400056,07/01/2013,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17,Cerro Gordo,1042100,IMPORTED DRY GINS
S13871400001,08/13/2013,4775,Casey's General Store #37 / Dakota C,"502, MAIN",DAKOTA CITY,50529,"502, MAIN
DAKOTA CITY 50529
(42.721391, -94.201402)",46,Humboldt,1062310,SPICED RUM
S24742300137,03/26/2015,5102,Wilkie Liquors,"724, 1st  ST  SE",MOUNT VERNON,52314,"724, 1st ST SE
MOUNT VERNON 52314
(41.91776, -91.410151)",57,Linn,1042100,IMPORTED DRY GINS
S05101300107,04/17/2012,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,"228 N MAIN ST
MONTICELLO 52310
(42.240132, -91.183413)",53,Jones,1012100,CANADIAN WHISKIES
S05796100019,05/30/2012,3660,Wal-Mart 2935 / Knoxville,814 W BELL AVE,KNOXVILLE,50138,"814 W BELL AVE
KNOXVILLE 50138
",63,Marion,1101100,AMERICAN ALCOHOL
S06096900108,06/18/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.64277, -91.530467)",52,Johnson,1031080,VODKA 80 PROOF
